longitude,latitude,junction_type,num_roads,connected_road_indices
103.841337,1.299057,X Shape,4,"[208, 3210, 3827, 3894]"
103.841501,1.299521,X Shape,4,"[208, 4449, 4451, 4452]"
103.840682,1.299287,T Shape,3,"[209, 1530, 3210]"
103.845965,1.297403,T Shape,3,"[210, 2037, 3225]"
103.845407,1.297241,T Shape,3,"[210, 3047, 4914]"
103.844166,1.286547,T Shape,3,"[212, 4928, 4931]"
103.844304,1.286728,T Shape,3,"[212, 725, 2582]"
103.832318,1.299592,T Shape,3,"[213, 2622, 3786]"
103.831526,1.298834,T Shape,3,"[213, 4083, 4098]"
103.833772,1.298246,T Shape,3,"[215, 4955, 4957]"
103.833544,1.29756,T Shape,3,"[215, 5794, 5796]"
103.842053,1.289118,T Shape,3,"[217, 468, 469]"
103.840946,1.287988,T Shape,3,"[218, 1612, 4656]"
103.840943,1.288799,T Shape,3,"[219, 674, 2531]"
103.842578,1.289751,T Shape,3,"[220, 1619, 4623]"
103.842654,1.289878,T Shape,3,"[220, 1618, 4747]"
103.840813,1.287747,T Shape,3,"[222, 462, 4664]"
103.844888,1.288322,T Shape,3,"[223, 1930, 3216]"
103.841533,1.289168,T Shape,3,"[224, 470, 3248]"
103.84326,1.30086,X Shape,4,"[226, 4678, 4680, 4681]"
103.843106,1.300701,T Shape,3,"[227, 1317, 2555]"
103.83447,1.303756,T Shape,3,"[228, 5272, 5366]"
103.834383,1.303805,T Shape,3,"[229, 5275, 5366]"
103.833264,1.304247,T Shape,3,"[230, 2546, 3191]"
103.833343,1.304287,Other,3,"[230, 1032, 4975]"
103.844698,1.299242,T Shape,3,"[232, 235, 746]"
